,cc_pred,cc_valid,x_valid,x_past_valid,x_pred,Y_1_valid,Y_2_valid
53,1.6417133,0.24988108812963147,0.2540384,0.52169734,0.2335428,-1.5577713,-1.3000364
54,1.3238782,1.2057164682655748,0.13675864,0.2540384,0.19539154,-1.3000364,-0.6404074
55,2.161384,-0.9296922694464219,1.323878,0.13675864,1.3363799,-0.6404074,0.989832
56,1.5784062,0.42649103633148666,-1.2766955,1.323878,-1.2612478,0.989832,-0.95086867
57,1.36357,0.9977072463902922,-0.5639758,-1.2766955,-0.57062733,-0.95086867,0.07816741
58,1.867233,-0.25412006998662656,0.8848293,-0.5639758,0.892135,0.07816741,1.0295138
59,1.2482133,1.3343272045354901,-1.2864566,0.8848293,-1.2852911,1.0295138,-1.6014923
60,2.3134646,-1.4060803151738717,-0.3393526,-1.2864566,-0.34837973,-1.6014923,-1.4145658
61,2.159061,-0.9575852870345103,1.3008431,-0.3393526,1.3369697,-1.4145658,-0.7785768
62,1.6212888,0.3624098179858877,-1.4130769,1.3008431,-1.3521227,-0.7785768,0.46795517
63,1.3327699,1.0829563040894972,-0.9140734,-1.4130769,-0.8915516,0.46795517,-0.13793036
64,1.9671509,-0.5168057041204673,0.44372937,-0.9140734,0.4604324,-0.13793036,1.1999009
65,1.4312804,1.1283525869805178,-0.12005578,0.44372937,0.04577887,1.1999009,-1.172803
66,2.003447,-0.6647289518967084,1.2623518,-0.12005578,1.2294334,-1.172803,-0.10903632
67,1.4050003,0.9300295532300762,-1.1005756,1.2623518,-1.2056044,-0.10903632,0.5892208
68,1.7667731,-0.05960835346845469,-0.02304565,-1.1005756,-0.03903067,0.5892208,0.3202528
69,1.2301437,1.3662956219972948,0.35017774,-0.02304565,0.34485734,0.3202528,-0.045051035
70,2.474709,-1.5314534995316373,1.4915911,0.35017774,1.503764,-0.045051035,1.6398547
71,2.3757823,-1.42410874412183,-1.1279752,1.4915911,-1.1577196,1.6398547,-1.6438333
72,1.9440596,-1.0220471279592782,0.055628404,-1.1279752,-0.039225698,-1.6438333,-1.5795649
73,1.6421301,0.20624550351611923,0.8261911,0.055628404,0.78744113,-1.5795649,-1.3701085
74,1.2972959,1.2440823021893728,-1.0592296,0.8261911,-1.0385057,-1.3701085,-0.81476134
75,2.2210488,-1.0671100737367316,0.23285674,-1.0592296,0.21377599,-0.81476134,0.7480446
76,1.7059506,0.0903862885514523,0.73940855,0.23285674,0.73392403,0.7480446,-0.097120754
77,1.2442925,1.3209001955133528,-0.8805455,0.73940855,-0.90614736,-0.097120754,0.41776723
78,2.367352,-1.3542487519978341,0.6846796,-0.8805455,0.67471397,0.41776723,1.3286507
79,1.4967788,-0.7771665218524315,0.59308326,0.6846796,-0.29274857,1.3286507,-1.0969222
80,1.4290059,0.7395995991250048,-0.17642401,0.59308326,-0.20218551,-1.0969222,-0.13837881
81,1.5741488,0.4210765696023073,0.8174606,-0.17642401,0.8112439,-0.13837881,0.81128085
82,1.3627173,1.0053408572608262,-0.87460995,0.8174606,-0.8940511,0.81128085,-0.8582505
83,1.8552388,-0.2768390551503149,0.46544695,-0.87460995,0.4993223,-0.8582505,0.49365386
84,1.2429644,1.3239032468140333,-0.27260274,0.46544695,-0.27206004,0.49365386,-0.32710022
85,2.3505397,-1.3657988359314603,1.4929757,-0.27260274,1.5068058,-0.32710022,1.4568418
86,1.981686,-0.8167401445816732,-1.6532582,1.4929757,-1.4258472,1.4568418,-1.518313
87,1.5294571,0.664421156698302,-1.6214973,-1.6532582,-1.6179143,-1.518313,-1.1908675
88,1.5336888,0.5837747766531736,-1.5152329,-1.6214973,-1.521423,-1.1908675,-0.31677327
89,1.4512858,0.7412715478874489,-1.1847026,-1.5152329,-1.2017795,-0.31677327,0.69310546
90,1.5873793,0.4172840284966695,-0.28108466,-1.1847026,-0.29792988,0.69310546,-0.186784
91,1.3688371,1.0106404554232256,0.5951144,-0.28108466,0.5980407,-0.186784,0.58200186
92,1.8719738,-0.292704514108362,0.4524214,0.5951144,0.44100606,0.58200186,0.4754306
93,1.2453407,1.3157940142705578,-0.24342056,0.4524214,-0.24716938,0.4754306,-0.28696454
94,2.3483274,-1.334665916119584,1.4973886,-0.24342056,1.5088643,-0.28696454,1.4724978
95,2.0477686,-0.7108970256757915,-1.5725869,1.4973886,-1.4885219,1.4724978,-1.6664776
96,1.742638,0.8559843529532998,-1.3637085,-1.5725869,-1.3561112,-1.6664776,-1.6660362
97,1.7440026,0.1389790316118361,-0.70792913,-1.3637085,-0.6872283,-1.6660362,-1.6644436
98,1.7260022,1.2931127194136844,0.31477553,-0.70792913,0.6218046,-1.6644436,-1.659527
99,1.8220121,-1.2485346982270968,1.3681378,0.31477553,0.8134624,-1.659527,-1.6388586
100,1.860299,-0.4317665522727507,-1.5170399,1.3681378,-1.464116,-1.6388586,-1.5652039
101,1.3331268,1.2155110179419075,-1.2093676,-1.5170399,-1.2111622,-1.5652039,-1.35072
102,2.2104945,-0.9643948037235763,-0.16719232,-1.2093676,-0.13499749,-1.35072,-0.5772263
103,1.6061717,0.34644535419577105,0.84661895,-0.16719232,0.8432931,-0.5772263,0.69406545
104,1.3222083,1.10246202990628,-1.0192096,0.84661895,-1.0466124,0.69406545,-0.6274243
105,2.0021815,-0.5796803026019978,0.24142778,-1.0192096,0.23074234,-0.6274243,0.9086722
106,1.3450327,1.051304342626496,0.23359907,0.24142778,0.24775088,0.9086722,-1.1587956
107,1.917526,-0.41697400707097726,1.0000447,0.23359907,0.98497784,-1.1587956,-0.10748593
108,1.2867582,1.2286703675602235,-1.5606741,1.0000447,-1.5199991,-0.10748593,0.46233344
109,2.183427,-1.0114284353371106,-1.2731961,-1.5606741,-1.2914568,0.46233344,1.0812439
110,1.6565967,0.23274522642738918,-0.47412685,-1.2731961,-0.47512925,1.0812439,-1.0825751
